name,fuel,seller_type,transmission,owner
Mercedes-Benz New C-Class 220 CDI AT,Diesel,Individual,Automatic,First Owner
Maruti SX4 Zxi with Leather BSIII,Petrol,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxZ,Diesel,Individual,Manual,Second Owner
Ford Figo Diesel Titanium,Diesel,Individual,Manual,Third Owner
Ford Figo Diesel Titanium,Diesel,Individual,Manual,Third Owner
Maruti Swift Dzire VDi,Diesel,Individual,Manual,Third Owner
Mahindra Xylo E4,Diesel,Individual,Manual,Third Owner
Maruti Esteem Vxi - BSIII,Petrol,Individual,Manual,Third Owner
Maruti Swift VDI BSIV,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Sportz,Petrol,Individual,Manual,Third Owner
Chevrolet Beat Diesel LT,Diesel,Individual,Manual,First Owner
Chevrolet Cruze LTZ AT,Diesel,Individual,Automatic,First Owner
Nissan Micra XL,Petrol,Individual,Manual,Second Owner
BMW 5 Series 520d Luxury Line,Diesel,Individual,Automatic,First Owner
Chevrolet Enjoy 1.3 TCDi LS 8,Diesel,Dealer,Manual,First Owner
Hyundai EON Era Plus Option,Petrol,Dealer,Manual,First Owner
Fiat Linea T Jet Emotion,Petrol,Dealer,Manual,First Owner
Renault Scala RxL,Petrol,Dealer,Manual,First Owner
Ford Figo Petrol Titanium,Petrol,Dealer,Manual,First Owner
Maruti Ciaz ZDi SHVS,Diesel,Individual,Manual,First Owner
Skoda Rapid 1.5 TDI Ambition BSIV,Diesel,Dealer,Manual,First Owner
Mahindra XUV500 W6 2WD,Diesel,Individual,Manual,First Owner
Mahindra XUV300 W8 Option,Petrol,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI,Diesel,Individual,Manual,Second Owner
Nissan Terrano XE D,Diesel,Dealer,Manual,First Owner
Maruti S-Cross Facelift,Diesel,Individual,Manual,First Owner
Hyundai i20 Magna 1.4 CRDi (Diesel),Diesel,Dealer,Manual,First Owner
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Diesel,Individual,Automatic,First Owner
Hyundai EON Era Plus,Petrol,Dealer,Manual,First Owner
Volkswagen Ameo 1.5 TDI Highline,Diesel,Dealer,Manual,First Owner
Maruti Alto LX,Petrol,Individual,Manual,Third Owner
Maruti Omni LPG CARGO BSIII W IMMOBILISER,LPG,Individual,Manual,Second Owner
Maruti Alto LX,Petrol,Individual,Manual,Second Owner
Hyundai Verna i (Petrol),Petrol,Individual,Manual,Second Owner
Mahindra Renault Logan 1.5 DLS,Diesel,Individual,Manual,First Owner
Chevrolet Optra Magnum 2.0 LS BSIII,Diesel,Individual,Manual,First Owner
Mahindra Scorpio S11 BSIV,Diesel,Individual,Manual,First Owner
Hyundai i20 Active 1.2 SX,Petrol,Individual,Manual,First Owner
Maruti SX4 Celebration Diesel,Diesel,Individual,Manual,Second Owner
Hyundai Grand i10 Magna,Petrol,Individual,Manual,First Owner
Maruti Alto LXi BSIII,Petrol,Individual,Manual,First Owner
Maruti SX4 Zxi with Leather BSIII,Petrol,Individual,Manual,Second Owner
Hyundai i10 Era,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 V Diesel 7-seater,Diesel,Individual,Manual,Second Owner
Honda Mobilio V i DTEC,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Diesel,Individual,Manual,Fourth & Above Owner
Tata Indica V2 2001-2011 DLS BSIII,Diesel,Dealer,Manual,First Owner
Tata Indica Vista TDI LS,Diesel,Individual,Manual,Second Owner
Chevrolet Beat Diesel LS,Diesel,Individual,Manual,Second Owner
Tata Zest Quadrajet 1.3 75PS XE,Diesel,Dealer,Manual,First Owner
Skoda Fabia 1.2L Diesel Ambiente,Diesel,Dealer,Manual,Second Owner
Maruti 800 Std,Petrol,Individual,Manual,First Owner
Ford Figo Petrol Titanium,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 VX (Diesel) 8 Seater,Diesel,Individual,Manual,First Owner
Honda Mobilio V i DTEC,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Asta,Diesel,Individual,Manual,First Owner
Chevrolet Beat Diesel LT,Diesel,Individual,Manual,Second Owner
Datsun GO Plus T Option Petrol,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,Petrol,Individual,Manual,First Owner
Maruti Omni MPI STD BSIV,Petrol,Individual,Manual,First Owner
Maruti Baleno Alpha 1.2,Petrol,Dealer,Manual,First Owner
Ford Fiesta Classic 1.4 SXI Duratorq,Diesel,Individual,Manual,Third Owner
Hyundai Elite i20 Asta Option BSIV,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 CRDi Magna,Diesel,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI,Diesel,Dealer,Manual,First Owner
Hyundai Santro Xing GL Plus,Petrol,Individual,Manual,First Owner
Tata Sumo GX TC 7 Str BSIII,Diesel,Individual,Manual,Second Owner
Renault KWID RXT,Petrol,Individual,Manual,First Owner
Maruti 800 AC,Petrol,Individual,Manual,Second Owner
Maruti Vitara Brezza LDi Option,Diesel,Dealer,Manual,First Owner
Honda Jazz S,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Sportz,Diesel,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI Plus,Diesel,Individual,Manual,Second Owner
Tata Sumo SE Plus BSIII,Diesel,Individual,Manual,First Owner
Mahindra Xylo E4,Diesel,Individual,Manual,First Owner
Maruti Swift ZDi BSIV,Diesel,Individual,Manual,First Owner
Maruti Ertiga VXI,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Magna ABS,Diesel,Individual,Manual,Second Owner
Maruti Alto LXi,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,Petrol,Individual,Manual,Second Owner
Hyundai Getz GL,Petrol,Individual,Manual,Third Owner
Maruti Wagon R LX BS IV,Petrol,Individual,Manual,First Owner
Mahindra Bolero Power Plus SLX,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Spotz,Petrol,Individual,Manual,Second Owner
Maruti Wagon R LXI Minor,Petrol,Individual,Manual,Second Owner
Maruti Alto 800 VXI,Petrol,Individual,Manual,First Owner
Hyundai i20 Asta (o),Petrol,Individual,Manual,First Owner
Hyundai i20 Asta,Petrol,Individual,Manual,Second Owner
Hyundai Verna 1.6 SX CRDi (O),Diesel,Individual,Manual,First Owner
Mahindra Xylo D2 BSIV,Diesel,Individual,Manual,First Owner
Mahindra Bolero SLX 2WD BSIII,Diesel,Individual,Manual,Second Owner
Maruti Ertiga VXI ABS,Petrol,Individual,Manual,First Owner
Honda Brio 1.2 E MT,Petrol,Individual,Manual,First Owner
Toyota Etios Liva G,Petrol,Individual,Manual,Second Owner
Maruti Alto 800 LXI,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire 1.2 Vxi BSIV,Petrol,Individual,Manual,Second Owner
Mahindra Scorpio VLS AT 2.2 mHAWK,Diesel,Individual,Automatic,Second Owner
Mahindra Bolero SLX,Diesel,Individual,Manual,Second Owner
Mahindra XUV500 W11 Option AWD,Diesel,Dealer,Manual,First Owner
Tata Tiago 1.2 Revotron XZ,Petrol,Individual,Manual,First Owner
Mahindra Marazzo M8 8Str,Diesel,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxL,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner
Maruti Wagon R VXI,Petrol,Dealer,Manual,First Owner
Chevrolet Spark 1.0 LT,Petrol,Individual,Manual,First Owner
Maruti Baleno Alpha,Petrol,Individual,Manual,First Owner
Hyundai EON 1.0 Kappa Magna Plus,Petrol,Individual,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Trend,Petrol,Dealer,Manual,First Owner
Ford Figo Aspire Facelift,Diesel,Dealer,Manual,First Owner
Hyundai i10 Era,Petrol,Individual,Manual,First Owner
Mahindra Bolero SLX,Diesel,Dealer,Manual,First Owner
Hyundai Verna 1.4 VTVT,Petrol,Individual,Manual,First Owner
Chevrolet Sail 1.2 LT ABS,Petrol,Individual,Manual,First Owner
Honda City i-DTEC SV,Diesel,Dealer,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,Petrol,Individual,Manual,First Owner
Mahindra Bolero Power Plus Plus AC BSIV PS,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz Option,Petrol,Dealer,Manual,First Owner
Maruti Baleno Sigma 1.2,Petrol,Individual,Manual,First Owner
Tata Tiago 1.2 Revotron XZ,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI,Petrol,Individual,Manual,Second Owner
Chevrolet Beat Diesel LS,Diesel,Individual,Manual,First Owner
Maruti A-Star Vxi,Petrol,Individual,Manual,First Owner
Datsun GO A,Petrol,Individual,Manual,Second Owner
Skoda Yeti Ambition 4WD,Diesel,Individual,Manual,First Owner
Maruti Zen LXi BSII,Petrol,Individual,Manual,Second Owner
Hyundai Verna CRDi 1.6 EX,Diesel,Individual,Manual,First Owner
Ford Aspire Titanium Diesel BSIV,Diesel,Dealer,Manual,First Owner
BMW 3 Series 320d Sport,Diesel,Dealer,Automatic,First Owner
Maruti Ertiga SHVS ZDI Plus,Diesel,Individual,Manual,First Owner
BMW X1 sDrive 20d Exclusive,Diesel,Individual,Automatic,First Owner
Toyota Innova Crysta 2.4 VX MT,Diesel,Dealer,Manual,First Owner
Chevrolet Tavera Neo 3 10 Seats BSIV,Diesel,Individual,Manual,Third Owner
Mitsubishi Outlander 2.4,Petrol,Individual,Automatic,First Owner
Mahindra XUV500 W8 2WD,Diesel,Dealer,Manual,First Owner
Maruti Baleno Alpha 1.3,Diesel,Individual,Manual,First Owner
Ford Figo Aspire 1.5 TDCi Titanium,Diesel,Dealer,Manual,First Owner
Maruti Swift Dzire VDI,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Spotz,Petrol,Individual,Manual,Second Owner
Renault Duster 110PS Diesel RxZ,Diesel,Individual,Manual,Second Owner
Maruti Swift Vdi BSIII,Diesel,Individual,Manual,Third Owner
Ford Endeavour Titanium 4X2,Diesel,Dealer,Manual,Second Owner
Mahindra Scorpio 2.6 Turbo 9 Str,Diesel,Individual,Manual,Third Owner
Maruti Baleno Vxi,Petrol,Individual,Manual,Third Owner
Tata Indica DLX,Diesel,Individual,Manual,Second Owner
Hyundai Verna CRDi 1.6 EX,Diesel,Individual,Manual,First Owner
Maruti Wagon R VXI BS IV,Petrol,Individual,Manual,Second Owner
Tata Indica LSI,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire VDI,Diesel,Individual,Manual,Second Owner
Toyota Etios Liva GD,Diesel,Individual,Manual,Second Owner
Tata Nano STD,Petrol,Individual,Manual,Fourth & Above Owner
Hyundai Grand i10 Sportz,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Asta,Diesel,Individual,Manual,First Owner
Maruti Ertiga SHVS VDI,Diesel,Individual,Manual,First Owner
Mahindra Bolero SLX,Diesel,Individual,Manual,Third Owner
Mahindra Scorpio S7 140 BSIV,Diesel,Individual,Manual,First Owner
Volkswagen Polo Petrol Comfortline 1.2L,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.1 CRDi Base,Diesel,Individual,Manual,Second Owner
Chevrolet Beat Diesel PS,Diesel,Dealer,Manual,First Owner
Maruti Swift ZXi BSIV,Petrol,Dealer,Manual,First Owner
Maruti Ritz VDi,Diesel,Dealer,Manual,First Owner
Tata Indigo CS Emax CNG GLX,CNG,Dealer,Manual,First Owner
Maruti Eeco 5 STR With AC Plus HTR CNG,CNG,Dealer,Manual,First Owner
Maruti Estilo LXI,Petrol,Dealer,Manual,First Owner
Maruti Swift VXI with ABS,Petrol,Individual,Manual,Second Owner
Tata Zest Quadrajet 1.3 XM,Diesel,Individual,Manual,First Owner
Maruti Swift VDI BSIV,Diesel,Individual,Manual,First Owner
Maruti Alto K10 VXI AGS Optional,Petrol,Individual,Automatic,First Owner
Maruti Alto LX,Petrol,Individual,Manual,First Owner
Maruti SX4 Vxi BSIII,Petrol,Individual,Manual,Second Owner
Mahindra Scorpio SLE BSIV,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing GLS CNG,CNG,Individual,Manual,Second Owner
Chevrolet Cruze LTZ,Diesel,Individual,Manual,First Owner
Ford Figo Diesel Celebration Edition,Diesel,Individual,Manual,Second Owner
Renault KWID RXT Optional,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire VDI,Diesel,Individual,Manual,First Owner
Hyundai EON Era Plus,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W6 2WD,Diesel,Individual,Manual,First Owner
Renault KWID 1.0 RXT Optional,Petrol,Individual,Manual,First Owner
Skoda Rapid 1.5 TDI AT Style BSIV,Diesel,Individual,Automatic,First Owner
Mahindra XUV500 W8 2WD,Diesel,Individual,Manual,First Owner
Chevrolet Spark 1.0,Petrol,Individual,Manual,First Owner
Maruti 800 AC,Petrol,Individual,Manual,Third Owner
Chevrolet Tavera Neo 3 10 Seats BSIV,Diesel,Individual,Manual,Third Owner
Ford Fiesta 1.6 ZXi Duratec,Petrol,Individual,Manual,Third Owner
Maruti Ertiga VDI,Diesel,Individual,Manual,First Owner
Tata Manza Aura Quadrajet BS IV,Diesel,Individual,Manual,Second Owner
Maruti Swift VVT VXI,Petrol,Individual,Manual,First Owner
Hyundai i20 Sportz Petrol,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,Petrol,Individual,Manual,First Owner
Maruti Zen Estilo VXI BSIV,Petrol,Individual,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Diesel,Individual,Manual,Third Owner
Tata Tiago 1.2 Revotron XZA,Petrol,Individual,Automatic,Second Owner
Maruti Vitara Brezza ZDi,Diesel,Individual,Manual,First Owner
Maruti Swift VXI BSIII,Petrol,Individual,Manual,Second Owner
Maruti Swift VXI BSIV,Petrol,Individual,Manual,First Owner
Maruti Swift VDI BSIV,Diesel,Individual,Manual,First Owner
